typeOfChannel,delta,channelCoefficients,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
h(i) > h(j) if i > j,30.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.010000,20.000000, 0.472375,0.707625
h(i) > h(j) if i > j,30.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.007500,21.249387, 0.465250,0.719625
h(i) > h(j) if i > j,30.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.005000,23.010300, 0.467000,0.711875
h(i) > h(j) if i > j,30.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.002500,26.020600, 0.468375,0.707500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,1.000000,0.000000, 0.318500,0.528000
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.997500,0.010871, 0.317750,0.522125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.995000,0.021769, 0.315250,0.532000
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.992500,0.032695, 0.320000,0.531625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.990000,0.043648, 0.315125,0.535250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.987500,0.054629, 0.312625,0.526375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.985000,0.065638, 0.325375,0.535375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.982500,0.076674, 0.317250,0.527125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.980000,0.087739, 0.318875,0.537500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.977500,0.098832, 0.312125,0.536875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.975000,0.109954, 0.312875,0.528250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.972500,0.121104, 0.319625,0.528625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.970000,0.132283, 0.318125,0.544125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.967500,0.143490, 0.313625,0.530875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.965000,0.154727, 0.310000,0.531875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.962500,0.165993, 0.318000,0.527500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.960000,0.177288, 0.312875,0.519875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.957500,0.188612, 0.316875,0.525750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.955000,0.199966, 0.320750,0.525375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.952500,0.211350, 0.303125,0.519625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.950000,0.222764, 0.319750,0.528125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.947500,0.234208, 0.321000,0.525500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.945000,0.245682, 0.316875,0.542625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.942500,0.257186, 0.315750,0.524250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.940000,0.268721, 0.321375,0.518375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.937500,0.280287, 0.308875,0.532875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.935000,0.291884, 0.305375,0.528875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.932500,0.303512, 0.308625,0.526750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.930000,0.315171, 0.314125,0.528750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.927500,0.326861, 0.302500,0.525125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.925000,0.338583, 0.326250,0.528750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.922500,0.350336, 0.310500,0.538375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.920000,0.362122, 0.309875,0.534625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.917500,0.373939, 0.305500,0.533000
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.915000,0.385789, 0.307875,0.532375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.912500,0.397671, 0.312750,0.525250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.910000,0.409586, 0.305250,0.517375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.907500,0.421534, 0.298750,0.516500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.905000,0.433514, 0.308875,0.516000
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.902500,0.445528, 0.312500,0.526250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.900000,0.457575, 0.312125,0.526625
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.897500,0.469655, 0.305000,0.522500
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.895000,0.481770, 0.307000,0.524375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.892500,0.493918, 0.311250,0.519250
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.890000,0.506100, 0.315125,0.517125
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.887500,0.518316, 0.293250,0.517000
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.885000,0.530567, 0.308750,0.517375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.882500,0.542853, 0.311875,0.515750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.880000,0.555173, 0.303625,0.520375
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.877500,0.567529, 0.299000,0.521875
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.875000,0.579919, 0.314500,0.513750
h(i) > h(j) if i > j,40.000000,0.574178 0.470097 0.384883 0.315115 0.257995 0.211228 0.172939 0.141590 0.115924 0.094911 0.077706 0.063621 0.052088 0.042646 0.034916 0.028587 0.023405 0.019162 0.015689 0.012845 0.010516 0.008610 0.007049 0.005772 0.004725 0.003869 0.003167 0.002593 0.002123 0.001738 0.001423 0.001165 0.000954 0.000781 0.000640 0.000524 0.000429 0.000351 0.000287 0.000235 0.000193 ,0.872500,0.592346, 0.308750,0.507000
